Su ?çeri?i (%),#10 Kalan (%),#200 Geçen (%),LL  (%),PL (%),CU
34.6,0,93.5,45.2,21.5,13.37578567
39.4,0,95.4,49.6,20.3,8.477999687
34.7,0,85.7,52.2,20,20.82212606
89.8,0,89.8,54.4,19.6,0.015882303
36.5,0,95.3,52.1,19.3,15.23893128
21.6,0,95.1,56.6,20,139.0350961
20.5,0,97.8,57.6,21.5,193.1001658
19.2,0,90.9,61.5,19.6,177.630929
26.8,0,86.6,52.2,20,64.35860117
29.7,0,98,54.6,19.3,43.84664307
31.4,0,97.1,55.5,20.3,39.86029264
21.6,0,93.1,52.5,19.6,128.5338344
26,0,95.2,52.7,18.6,62.65612674
23.5,0,95.1,54.8,19.3,98.65505891
43.3,0,95.2,55.8,20.2,8.595823592
18.3,2.2,68.8,52.8,18.2,167.7550732
18.4,8,52.9,55.6,20.2,214.7925096
18.1,4.3,66.2,57.6,21.6,265.8611791
17.5,1.8,72.8,54.7,19.6,223.8516548
6.5,0,85.5,57.4,20.3,940.7451189
19.2,7.7,75,52.8,19.6,179.6866279
9.2,0,95,52.8,18.2,562.3959659
18,4.9,61.5,54.6,21.5,276.4839683
26,0,94.5,49.5,20.4,70.15217795
33,0,83.3,46.6,21.5,20.66511965
29.6,0,95.1,48.6,20.2,37.09273353
33,0,97.4,52.1,19.3,24.8947313
29.8,0,97.1,52.8,18.3,36.69439748
18.5,8.6,65.4,52.6,19.6,198.168142
27.7,0,96.4,54.7,18.2,51.34986463
26.5,0,94.1,54.5,19.3,66.35286259
15.8,0,95.6,52.4,19.6,289.6490478
38.4,0,91.9,54.8,19.6,14.5739398
42.3,0,85.6,52.7,18.6,6.952230018
29.5,0,95.2,48.2,21.5,42.84822365
28.3,0,93.9,52.1,20.6,55.2280281
33.3,0,95.5,46.6,21,18.65046997
46.5,0,98.4,52.2,21.6,4.027111166
47,0,93,56.6,22.2,6.171014279
14.5,12.9,64.5,54.7,19.3,317.1778253
25.7,0,92.4,54.7,19,71.70658799
25.9,0,93.1,55.9,20.6,85.21849508
25.6,30.8,60.3,54.8,19.6,77.61718244
44,40,47,39.9,21.5,0.613473421
28.5,0,96.4,57.4,19.2,55.47981521
29.3,0,98,52.5,20.5,47.98697393
31.9,0,96.8,57.4,19.2,36.84196806
31,0,94.4,66.8,24.2,81.58147948
29.9,0,96.4,56.6,20.4,50.84294047
29.3,0.8,92.6,55.8,19.6,49.56721131
37.3,0,96.6,48.5,20,10.42083587
37.7,0,92.9,49.6,21.5,11.99051725
43.6,0,95.7,52.4,19.6,5.872578264
46.8,0,95.3,64.5,21.5,11.35396965
27,0,73,52.5,19.6,60.41607779
28.1,0,93.9,54.8,19.6,55.9869235
44.6,4.3,68.5,55.9,20,7.272034657
40.8,0,96.4,59.6,21.5,16.54123432
32.1,0,94.8,59.9,21.7,48.59750858
31.8,0,97.2,64.3,20.3,51.09314638
36,0,90.7,62.5,19.6,29.29663339
25,0,95.8,52.1,19.6,79.16782699
36.3,0,97.3,52.8,18.2,15.32812777
34.8,0,97.8,57.4,20.6,28.81748949
26.6,0,92.6,53.2,20,68.13121108
27.5,0,95,54.9,19,57.21264115
35.5,0,94.4,55.7,17.6,19.58703091
36.1,0,96.1,53.9,20.9,20.43461432
35.1,0,94.2,54.6,22.3,27.46952552
37.7,0,94.2,52.6,19.6,13.64031482
42,0,93.7,57.6,21.6,12.54600189
35.2,0,95.2,56.6,20.8,26.72797988
32.2,0,97.6,59.6,22.5,51.0715566
34,0,93.8,52.8,19.6,23.12292577
34.4,0,96.8,54.8,22.3,30.67232014
25.3,0,78.3,49.6,21.3,88.73808552
35.5,0,93.6,54.4,19.3,20.34716609
53.5,0,94.8,57,23.6,2.768377292
22.2,0,93.3,64.7,19.6,130.4040181
28.6,0,95.5,66.6,20.8,77.67034703
29.7,0,91.3,67.5,18.6,59.84362572
43.9,0,95.9,64.7,18.6,13.62012201
27.9,0,92.6,45.3,21.5,49.35069762
29,0,84,43.5,20.3,30.29483671
36.1,0,95.1,48.6,21.5,14.2652514
33.3,0,95,52.8,19.6,25.47767246
43.4,0,95.9,52.8,17.9,5.900962095
41.6,0,96,53.6,21.6,9.593603068
37.1,0,89.2,56.6,21.8,22.50177818
34.8,0,75,43.4,20.2,9.405277792
21.3,0,87.7,46.6,22.2,201.4322257
41.3,0,94,42.8,18.3,2.265688841
39.5,0,97.1,54.7,20.3,13.04784231
27,0,81.1,58.8,21.6,87.19314678
25.2,0,86.3,54.8,22.3,112.7732829
28.2,0,95.3,59.9,21,72.56428318
22.1,0,94.3,58.9,20,132.6209602
24.7,0,97.1,54.5,20.3,94.07072879
25.6,0,96.8,55,18.3,68.09521393
30.7,0,94.9,59.9,20.8,53.04885685
35.4,0,95.4,56,23.6,31.83809403
38.7,0,93.7,54.7,19.6,13.91439714
27,7.8,83,55.8,18.3,58.48141953
25.9,6.1,82.7,55.1,19.3,72.80915285
31.4,0,96.2,54.8,18.3,32.62277654
45.6,0,93.2,56.6,21.4,7.196726994
33.9,0,96,57.5,20.6,32.39408243
34.9,0,91.2,58.9,20.3,29.84694423
33.8,0,97.9,52,22,27.84498012
41.1,0,91.5,54.6,21.5,11.1586367
32.9,0,96.6,56.6,20.2,34.15878463
31.4,0,94.2,56.9,20.3,42.13425711
47.8,0,94.1,64.5,21.6,10.24475339
39.5,0,94.6,66.4,18.6,22.75329354
36.8,0,93.4,64.8,19.9,30.101495
37,0,96.1,64.7,18,26.16629525
42.2,0,94.8,64.6,21.5,18.66680406
51.7,0,93.1,64,24.6,7.186232904
32.8,0,93.7,59.6,21.2,42.36655194
30.6,0,97.7,58.5,21.5,54.84792684
36.7,0,91.1,53,20.2,16.81067287
33,0,87.6,52.2,19.3,25.04052531
34.3,0,98,54.7,18.6,22.99902552
33,0,96.4,54.7,18.6,27.14208948
242.2,0,98,52.7,18.6,1.35569E-11
26,0,97.3,52.8,18.9,64.87591853
35.9,2.8,80.3,54.7,19.3,19.66735085
35.2,0,97.2,56.6,24.2,35.66721675
28.4,0,86.7,46.5,20.1,40.03428713
33,0,98.1,49.6,21.5,25.87898764
32.3,0,93.9,57.5,20.3,38.55482766
